,id,year,movie,production_budget,domestic_gross,total_gross,profitability
2965,66,2002,Hollywood Ending,16000000,4839383,14839383,0.9274614375
2895,96,2002,Wes Craven Presents: They,17000000,12840842,16140842,0.949461294117647
859,60,2002,Two Weeks Notice,60000000,93354918,199043309,3.317388483333333
861,62,2002,The Scorpion King,60000000,90580000,165890634,2.7648439
3138,39,2002,Metropolis,15000000,673414,1405032,0.0936688
4879,80,2002,Elling,2100000,313436,313436,0.1492552380952381
4256,57,2002,Jackass: The Movie,5000000,64282312,79282312,15.8564624
740,41,2002,Rollerball,70000000,18990542,25852508,0.36932154285714286
1170,71,2002,Blood Work,50000000,26199517,26199517,0.52399034
4595,96,2002,Empire,3500000,17504595,18495444,5.284412571428572
3348,49,2002,Barbershop,12000000,75781642,77063461,6.421955083333334
1986,87,2002,Trapped,30000000,6916869,6916869,0.2305623
4229,30,2002,Harvard Man,5500000,56653,56653,0.010300545454545455
2210,11,2002,The Wild Thornberrys Movie,25000000,40108697,60694737,2.42778948
204,5,2002,Die Another Day,142000000,160942139,431942139,3.0418460492957746
3071,72,2002,Tuck Everlasting,15000000,19161999,19344615,1.289641
825,26,2002,Austin Powers in Goldmember,63000000,213117789,296338663,4.703788301587301
927,28,2002,Dragonfly,60000000,30063805,30063805,0.5010634166666667
4705,6,2002,Real Women Have Curves,3000000,5853194,7777790,2.5925966666666667
2935,36,2002,The Master of Disguise,16000000,40363530,40363530,2.522720625
582,83,2002,The Time Machine,80000000,56684819,98983590,1.237294875
3092,93,2002,Knockaround Guys,15000000,11660180,12419700,0.82798
909,10,2002,Reign of Fire,60000000,43061982,82150183,1.3691697166666668
613,14,2002,Red Dragon,78000000,92955420,206455420,2.646864358974359
2138,39,2002,Clockstoppers,26000000,36985501,38788828,1.491878
908,9,2002,Star Trek: Nemesis,60000000,43254409,67312826,1.1218804333333334
4719,20,2002,Thirteen Conversations About One Thing,3000000,3287435,3705923,1.2353076666666667
923,24,2002,Analyze That,60000000,32122249,54994757,0.9165792833333334
4428,29,2002,25th Hour,4500000,13084595,25344490,5.632108888888889
2098,99,2002,About a Boy,27000000,40803000,130759651,4.842950037037037
2951,52,2002,White Oleander,16000000,16357770,21657770,1.353610625
1047,48,2002,Eye See You,55000000,79161,1807990,0.03287254545454545
1049,50,2002,Blade 2,54000000,81676888,154338601,2.858122240740741
3191,92,2002,Jonah: A VeggieTales Movie,14000000,25571351,25608779,1.8291985
2025,26,2002,Serving Sara,29000000,16930185,20146150,0.6946948275862069
3047,48,2002,Halloween: Resurrection,15000000,30259652,37659652,2.5106434666666666
2026,27,2002,Confessions of a Dangerous Mind,29000000,16007718,33013805,1.1384070689655172
3192,93,2002,All About the Benjamins,14000000,25482931,25873145,1.8480817857142857
4449,50,2002,Mean Machine,4500000,92723,92723,0.020605111111111112
2985,86,2002,Ararat,15500000,1693000,1693000,0.10922580645161291
3143,44,2003,Buffalo Soldiers,15000000,353743,353743,0.023582866666666667
3144,45,2003,Steal (Canadian Release),15000000,220944,220944,0.0147296
1007,8,2003,Kill Bill: Volume 1,55000000,70098138,176469428,3.2085350545454547
1940,41,2003,Dumb and Dumberer: When Harry Met Lloyd,30000000,26214846,26214846,0.8738282
1027,28,2003,The Hunted,55000000,34234008,47213095,0.858419909090909
1029,30,2003,Stuck On You,55000000,33832741,63537164,1.1552211636363636
4234,35,2003,Irreversible,5400000,792200,8133256,1.5061585185185185
4268,69,2003,Monster,5000000,34469210,64240813,12.8481626
932,33,2003,Sinbad: Legend of the Seven Seas,60000000,26483452,80767884,1.3461314
1855,56,2003,Mystic River,30000000,90135191,156822020,5.227400666666667
1736,37,2003,The Order,35000000,7659747,11559747,0.3302784857142857
3474,75,2003,Phone Booth,11000000,46566212,97837138,8.894285272727272
3684,85,2003,Spider,10000000,1641788,1641788,0.1641788
1517,18,2003,Duplex,40000000,9652000,10070651,0.251766275
3401,2,2003,Girl with a Pearl Earring,12000000,11634362,43274797,3.606233083333333
3416,17,2003,From Justin to Kelly,12000000,4922166,4922166,0.4101805
3617,18,2003,Wrong Turn,10000000,15417771,28649556,2.8649556
3419,20,2003,In the Cut,12000000,4717455,23693646,1.9744705
993,94,2003,American Wedding,55000000,104354205,126425115,2.2986384545454546
3577,78,2003,Calendar Girls,10000000,31011616,93074616,9.3074616
4055,56,2003,Gerry,7000000,254683,719699,0.10281414285714285
3642,43,2003,Dirty Pretty Things,10000000,8112414,14156753,1.4156753
1054,55,2003,Gigli,54000000,6087542,7126002,0.131963
977,78,2003,Anger Management,56000000,135560942,195660942,3.493945392857143
1911,12,2003,Secondhand Lions,30000000,42070939,47902566,1.5967522
4201,2,2003,Foolproof,5800000,230312,421021,0.0725898275862069
4197,98,2003,L\'auberge espagnole,5900000,3895664,3895664,0.6602820338983051
1075,76,2003,Bulletproof Monk,52000000,23010607,23010607,0.4425116730769231
4178,79,2003,The Flower of Evil,6000000,181798,181798,0.030299666666666666
4165,66,2003,Shattered Glass,6000000,2207975,3456602,0.5761003333333333
1097,98,2003,How to Lose a Guy in 10 Days,50000000,105807520,178890782,3.57781564
4134,35,2003,A Mighty Wind,6000000,17583468,18504539,3.0840898333333335
3224,25,2003,Amen,14000000,274299,274299,0.019592785714285715
1122,23,2003,Shanghai Knights,50000000,60470220,88316835,1.7663367
1148,49,2003,Out of Time,50000000,41083108,55489826,1.10979652
4095,96,2003,Nowhere in Africa,6500000,6173485,6173485,0.9497669230769231
1168,69,2003,Basic,50000000,26599248,42598498,0.85196996
1613,14,2003,A Man Apart,36000000,26500000,43797731,1.2166036388888888
4220,21,2003,Mambo Italiano,5500000,9282750,12399772,2.254504
